Date | mars_base_internal_temperature | mars_base_external_temperature | mars_base_internal_humidity | mars_base_external_illuminance | mars_base_internal_co2 | mars_base_internal_oxygen
2025-04-02 12:46:01 | 27.44 | 10.28 | 51.66 | 674.28 | 0.04 | 5.67
2025-04-02 12:46:21 | 29.52 | 0.42 | 56.75 | 660.42 | 0.03 | 4.08
2025-04-02 12:46:41 | 20.05 | 4.21 | 55.99 | 705.61 | 0.07 | 6.46
2025-04-02 12:47:01 | 18.36 | 1.08 | 50.21 | 704.83 | 0.04 | 5.55
2025-04-02 12:47:21 | 29.86 | 20.64 | 53.49 | 674.85 | 0.09 | 5.18
2025-04-02 12:47:41 | 25.71 | 15.26 | 56.83 | 681.31 | 0.02 | 5.59
2025-04-02 12:48:01 | 27.85 | 11.01 | 52.85 | 536.27 | 0.08 | 6.68
2025-04-02 12:48:21 | 27.39 | 2.73 | 52.90 | 507.40 | 0.08 | 4.52
2025-04-02 12:48:41 | 23.66 | 13.82 | 50.59 | 689.76 | 0.07 | 5.01
2025-04-02 12:49:01 | 27.21 | 7.60 | 51.26 | 504.56 | 0.05 | 5.67
2025-04-02 12:49:21 | 22.61 | 14.56 | 56.54 | 649.10 | 0.06 | 5.33
2025-04-02 12:49:41 | 29.70 | 0.52 | 57.84 | 686.02 | 0.07 | 5.60
2025-04-02 12:50:01 | 23.37 | 11.87 | 59.43 | 545.43 | 0.08 | 6.43
2025-04-02 12:50:21 | 26.94 | 15.39 | 53.96 | 709.74 | 0.03 | 4.97
2025-04-02 12:50:41 | 23.92 | 3.26 | 58.70 | 679.77 | 0.09 | 4.55
2025-04-02 12:51:01 | 23.95 | 20.95 | 52.15 | 619.13 | 0.06 | 4.61
2025-04-02 12:51:21 | 18.80 | 6.64 | 58.72 | 684.53 | 0.07 | 4.66
2025-04-02 12:51:41 | 26.69 | 8.52 | 50.70 | 699.46 | 0.05 | 4.53
2025-04-02 12:52:01 | 27.18 | 19.70 | 55.27 | 569.27 | 0.07 | 6.75
2025-04-02 12:52:21 | 20.99 | 1.82 | 56.05 | 517.68 | 0.06 | 4.95
2025-04-02 12:52:41 | 26.08 | 13.47 | 54.42 | 660.73 | 0.09 | 6.27
2025-04-02 12:53:01 | 18.16 | 4.97 | 54.85 | 581.12 | 0.09 | 6.02
2025-04-02 12:53:21 | 23.17 | 9.84 | 53.22 | 514.43 | 0.03 | 5.30
2025-04-02 12:53:41 | 19.51 | 13.02 | 59.33 | 529.42 | 0.05 | 4.15
2025-04-02 12:54:01 | 22.49 | 7.32 | 57.60 | 668.19 | 0.05 | 5.88
2025-04-02 12:54:21 | 20.69 | 12.15 | 55.01 | 691.57 | 0.04 | 4.25
2025-04-02 12:54:41 | 24.15 | 18.41 | 54.56 | 654.92 | 0.04 | 4.76
2025-04-02 12:55:01 | 21.78 | 18.38 | 59.07 | 630.99 | 0.06 | 6.03
2025-04-02 12:55:21 | 23.89 | 18.79 | 57.23 | 697.67 | 0.04 | 6.80
2025-04-02 12:55:41 | 26.83 | 10.11 | 55.55 | 683.67 | 0.09 | 5.34
2025-04-02 12:56:01 | 21.93 | 4.16 | 55.84 | 512.84 | 0.05 | 6.33
2025-04-02 12:56:21 | 26.55 | 19.74 | 50.10 | 600.81 | 0.10 | 6.76
2025-04-02 12:56:41 | 21.06 | 2.62 | 58.41 | 679.54 | 0.07 | 6.56
2025-04-02 13:00:55 | 24.79 | 2.43 | 55.14 | 704.90 | 0.04 | 6.62
2025-04-02 13:01:15 | 19.33 | 2.29 | 55.42 | 695.66 | 0.08 | 4.87
2025-04-02 13:01:36 | 25.06 | 1.26 | 51.86 | 529.73 | 0.10 | 5.02
2025-04-02 13:05:28 | 28.62 | 3.80 | 53.65 | 598.77 | 0.08 | 6.83
2025-04-02 13:05:48 | 21.67 | 14.32 | 52.84 | 645.76 | 0.04 | 6.37
2025-04-02 13:06:08 | 22.93 | 2.36 | 54.42 | 656.40 | 0.07 | 6.03
2025-04-02 13:06:28 | 21.45 | 4.33 | 55.26 | 636.41 | 0.09 | 6.86
2025-04-02 13:07:10 | 24.10 | 4.27 | 55.11 | 541.88 | 0.04 | 4.08
2025-04-02 13:07:30 | 29.38 | 11.51 | 54.61 | 538.77 | 0.07 | 6.36
2025-04-02 13:07:45 | 19.18 | 16.85 | 59.18 | 694.80 | 0.04 | 4.42
2025-04-02 13:16:26 | 19.43 | 1.24 | 58.61 | 704.49 | 0.05 | 6.00
2025-04-02 13:16:46 | 28.16 | 4.72 | 55.28 | 544.67 | 0.05 | 5.56
2025-04-02 13:17:11 | 27.59 | 20.92 | 55.75 | 607.45 | 0.10 | 5.97
2025-04-02 13:17:31 | 23.78 | 5.44 | 53.14 | 514.81 | 0.09 | 6.24
2025-04-02 13:17:51 | 22.10 | 10.28 | 54.95 | 512.66 | 0.07 | 4.85
2025-04-02 13:18:11 | 21.81 | 2.04 | 52.90 | 644.31 | 0.04 | 6.76
2025-04-02 13:18:31 | 30.11 | 10.92 | 56.22 | 646.73 | 0.07 | 4.95
2025-04-02 13:18:51 | 29.55 | 5.08 | 53.70 | 550.04 | 0.08 | 4.40
2025-04-02 13:19:14 | 24.63 | 11.86 | 52.24 | 663.07 | 0.05 | 6.84
2025-04-02 13:19:34 | 24.13 | 12.49 | 52.18 | 681.68 | 0.06 | 4.05
2025-04-02 13:19:59 | 25.74 | 12.02 | 51.67 | 529.91 | 0.07 | 6.80
2025-04-02 13:20:19 | 21.80 | 12.58 | 56.45 | 615.38 | 0.05 | 5.40
2025-04-02 13:20:39 | 22.75 | 19.94 | 55.24 | 510.14 | 0.02 | 4.55
2025-04-02 13:20:59 | 25.79 | 16.00 | 51.28 | 583.57 | 0.09 | 5.72
2025-04-02 13:21:19 | 22.31 | 10.87 | 55.05 | 503.97 | 0.03 | 4.51
2025-04-02 13:21:39 | 20.00 | 1.96 | 52.64 | 548.58 | 0.05 | 4.87
2025-04-02 13:21:59 | 18.16 | 10.95 | 55.84 | 588.10 | 0.02 | 5.30
2025-04-02 13:22:19 | 19.06 | 17.72 | 58.64 | 673.46 | 0.05 | 4.34
2025-04-02 13:22:39 | 28.83 | 2.03 | 56.68 | 697.93 | 0.06 | 4.57
2025-04-02 13:22:59 | 26.63 | 4.23 | 57.33 | 628.42 | 0.04 | 5.19
2025-04-02 13:23:20 | 20.57 | 18.11 | 52.49 | 639.86 | 0.03 | 6.96
2025-04-02 13:29:20 | 20.58 | 8.28 | 58.00 | 599.10 | 0.05 | 5.25
2025-04-02 13:29:45 | 20.84 | 10.49 | 50.83 | 646.42 | 0.10 | 5.71
2025-04-02 13:30:05 | 30.06 | 19.05 | 51.96 | 683.59 | 0.02 | 6.82
2025-04-02 13:30:25 | 21.29 | 1.07 | 56.88 | 612.79 | 0.05 | 4.51
2025-04-02 13:30:45 | 28.04 | 7.26 | 52.36 | 602.57 | 0.05 | 6.19
2025-04-02 13:31:05 | 20.87 | 9.89 | 57.66 | 672.67 | 0.06 | 6.06
2025-04-02 13:31:25 | 28.26 | 15.45 | 56.68 | 674.31 | 0.10 | 5.48
2025-04-02 13:31:45 | 18.25 | 6.41 | 56.69 | 534.27 | 0.09 | 5.64
2025-04-02 13:32:05 | 29.34 | 11.08 | 57.26 | 520.42 | 0.06 | 4.96
2025-04-02 13:32:25 | 29.43 | 0.48 | 57.68 | 645.77 | 0.05 | 5.25
2025-04-02 13:32:45 | 19.21 | 5.84 | 55.84 | 541.36 | 0.03 | 6.46
2025-04-02 13:33:05 | 20.78 | 13.44 | 51.03 | 637.92 | 0.03 | 4.64
2025-04-02 13:33:25 | 23.25 | 14.59 | 52.50 | 611.78 | 0.09 | 4.84
